#T eMean sigmaE mMean sigmaM 
0.800000 2047.200195 5.360312 1023.800110 0.210044
0.804000 2047.200195 5.360312 1023.800110 0.210044
0.808000 2048.000244 -0.500000 1024.000122 -0.125000
0.812000 2047.200195 5.360312 1023.800110 0.210044
0.816000 2048.000244 -0.500000 1024.000122 -0.125000
0.820000 2048.000244 -0.500000 1024.000122 -0.125000
0.824000 2047.200195 5.360312 1023.800110 0.272544
0.828000 2048.000244 -0.500000 1024.000122 -0.125000
0.832000 2048.000244 -0.500000 1024.000122 -0.125000
0.836000 2047.200195 5.360312 1023.800110 0.210044
0.840000 2048.000244 -0.500000 1024.000122 -0.125000
0.844000 2048.000244 -0.500000 1024.000122 -0.125000
0.848000 2048.000244 -0.500000 1024.000122 -0.125000
0.852000 2048.000244 -0.500000 1024.000122 -0.125000
0.856000 2045.600098 13.240469 1023.400085 0.640103
0.860000 2045.600098 13.240469 1023.400085 0.765103
0.864000 2046.400146 9.940469 1023.600098 0.527578
0.868000 2046.000122 16.750488 1023.400085 1.515103
0.872000 2046.400146 9.940469 1023.600098 0.465078
0.876000 2047.200195 5.360312 1023.800110 0.210044
0.880000 2047.200195 5.360312 1023.800110 0.210044
0.884000 2045.600098 26.240469 1023.400085 1.515103
0.888000 2048.000244 -0.500000 1024.000122 -0.125000
0.892000 2046.400146 9.940469 1023.600098 0.465078
0.896000 2047.200195 5.360312 1023.800110 0.272544
0.900000 2048.000244 -0.500000 1024.000122 -0.125000
0.904000 2045.600098 13.240469 1023.400085 0.640103
0.908000 2045.600098 26.240469 1023.400085 1.515103
0.912000 2046.400146 9.940469 1023.600098 0.527578
0.916000 2044.800049 28.260313 1023.200073 1.610117
0.920000 2048.000244 -0.500000 1024.000122 -0.125000
0.924000 2048.000244 -0.500000 1024.000122 -0.125000
0.928000 2048.000244 -0.500000 1024.000122 -0.125000
0.932000 2047.200195 5.360312 1023.800110 0.272544
0.936000 2046.000122 16.500488 1023.400085 1.515103
0.940000 2044.800049 15.260312 1023.200073 0.860117
0.944000 2045.600098 13.240469 1023.400085 0.702603
0.948000 2044.800049 28.260313 1023.200073 1.672617
0.952000 2045.600098 13.240469 1023.400085 0.702603
0.956000 2046.400146 9.940469 1023.600098 0.465078
0.960000 2042.400146 13.141641 1022.600098 0.665273
0.964000 2047.200195 5.360312 1023.800110 0.210044
0.968000 2045.600098 13.240469 1023.400085 0.702603
0.972000 2047.200195 5.360312 1023.800110 0.210044
0.976000 2044.800049 15.260312 1023.200073 0.735117
0.980000 2044.000122 41.500977 1023.000061 2.500122
0.984000 2047.200195 5.360312 1023.800110 0.210044
0.988000 2044.800171 27.761093 1023.200073 1.672617
0.992000 2046.400146 9.940469 1023.600098 0.527578
0.996000 2043.600098 33.140858 1022.800049 2.497617
1.000000 2047.200195 5.360312 1023.800110 0.272544
1.004000 2044.400146 39.541054 1023.000061 3.250122
1.008000 2046.400146 9.940469 1023.600098 0.527578
1.012000 2045.600098 13.240469 1023.400085 0.702603
1.016000 2044.000122 28.500977 1023.000122 1.625244
1.020000 2044.000122 28.750977 1023.000061 1.750122
1.024000 2046.400146 9.940469 1023.600098 0.527578
1.028000 2045.200195 18.911095 1023.200073 1.672617
1.032000 2041.599976 36.039688 1022.400085 2.065274
1.036000 2039.999878 64.748047 1022.000061 3.812744
1.040000 2044.800171 27.761093 1023.200073 1.672617
1.044000 2044.000122 15.750977 1023.000122 0.812744
1.048000 2042.400024 39.140274 1022.600037 2.352602
1.052000 2043.200195 14.961875 1022.800110 0.747764
1.056000 2040.800049 31.160704 1022.200073 1.760264
1.060000 2045.600098 13.240469 1023.400085 0.765103
1.064000 2046.400146 9.940469 1023.600098 0.527578
1.068000 2044.000000 29.000000 1023.000061 1.687622
1.072000 2044.000122 28.500977 1023.000061 1.687622
1.076000 2044.000000 29.000000 1023.000061 1.625122
1.080000 2037.599976 52.089493 1021.200012 4.972569
1.084000 2041.599976 36.289688 1022.400085 2.127774
1.088000 2040.800049 31.410704 1022.200073 1.822764
1.092000 2041.600098 70.791252 1021.800110 12.160483
1.096000 2036.800049 92.061096 1021.000061 8.062866
1.100000 2041.599854 36.538124 1022.400024 2.127578
1.104000 2042.400146 38.641640 1022.600037 2.352602
1.108000 2042.400146 38.891640 1022.600098 2.290273
1.112000 2042.400146 41.891640 1022.400085 3.690274
1.116000 2044.800171 15.011094 1023.200073 0.860117
1.120000 2040.400024 110.490372 1022.000061 7.937744
1.124000 2039.200073 82.311287 1021.800049 5.035215
1.128000 2039.600098 45.941639 1021.800049 3.472715
1.132000 2039.200073 82.061287 1021.800049 5.035215
1.136000 2042.000122 29.251465 1022.400085 2.065274
1.140000 2041.600098 48.291248 1022.400085 2.815274
1.144000 2036.799927 79.558357 1021.200012 4.972569
1.148000 2038.000122 112.502441 1021.400024 7.990127
1.152000 2035.200073 104.911873 1020.600037 8.002749
1.156000 2039.200073 82.311287 1021.800049 5.035215
1.160000 2040.800049 18.660704 1022.200073 0.947764
1.164000 2041.600098 35.791248 1022.400085 2.127774
1.168000 2038.400024 39.090469 1021.400024 3.177627
1.172000 2042.400024 39.390274 1022.600098 2.290273
